Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2022-01-31,10.6,4.4119,2.40259298714839,1.8244406196213394,-58.647000000000006,-36.018,-38.186,-35.236000000000004,-8.074,-38.923
2021-07-31,10.6,4.1877,2.53122238937842,1.8761061946902673,-55.2,-29.004,-34.977999999999994,-29.721999999999998,-6.107,-28.735
2021-01-31,9.9,4.0089,2.46950535059493,1.7491166077738538,-56.39999999999999,-29.099999999999998,-37.1,-24.8,-12.4,-30.8
2020-07-31,9.9,4.26005,2.32391638595791,1.7338003502626962,-59.301,,,,,
2020-01-31,9.5,4.2982,2.21022753710856,1.6754850088183444,-61.019,,,,,
2019-07-31,9.3,4.2192,2.2042093287827,1.6202090592335,-61.6,,,,,
2019-01-31,9.3,4.06695,2.2867259248331,1.6666666666667,-59.0,,,,,
2018-07-31,9.2,3.97325,2.315484804631,1.6696914700544,-58.0,,,,,
